DEBUG [2020-11-05 17:49:21,481] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:0; LastCheckedRemotes:11/5/2020 5:49:10 PM; LastUsedView:FileStatus; LogBranchFilterIndex:0; OutgoingSavedCount:0; RemoteProjectLinks:1; SidebarExpandedItems:1; SidebarWidth:210; SubtreeLinks:0
DEBUG [2020-11-05 17:49:21,526] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2020-11-05 17:49:21,605] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2020-11-05 17:49:21,606] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: idealimage
DEBUG [2020-11-05 17:49:21,606] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:0; LastCheckedRemotes:11/5/2020 5:48:35 PM; LastUsedView:FileStatus; LogBranchFilterIndex:0; OutgoingSavedCount:0; RemoteProjectLinks:0; SidebarExpandedItems:2; SidebarWidth:210; SubtreeLinks:0
DEBUG [2020-11-05 17:49:21,608] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2020-11-05 17:49:24,722] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2020-11-05 17:49:24,723] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: idealimage
DEBUG [2020-11-05 17:49:24,724] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:0; LastCheckedRemotes:11/5/2020 5:48:35 PM; LastUsedView:FileStatus; LogBranchFilterIndex:0; OutgoingSavedCount:0; RemoteProjectLinks:0; SidebarExpandedItems:2; SidebarWidth:210; SubtreeLinks:0
DEBUG [2020-11-05 17:49:24,725] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2020-11-05 17:56:22,051] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2020-11-05 17:56:22,052] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: idealimage
